GEOID,town_name,percent_with_disability,percent_with_disability_moe,with_disability,with_disability_moe,total_population,total_population_moe
5000100325,Addison town,11.063829787234042,3.756212908335365,130,39.102429592034305,1175,185
5000108575,Bridport town,13.360323886639677,5.285432984596836,165,59.312730505347666,1235,204
5000109025,Bristol town,18.706758914316126,6.606141765119386,703,248.20354550247666,3758,28
5000116000,Cornwall town,9.850993377483444,4.211954019701344,119,46.61544808322666,1208,207
5000126300,Ferrisburgh town,16.27207816610297,4.470368798328556,433,118.9243456992722,2661,17
5000128600,Goshen town,17.6056338028169,19.197136562088684,25,26.28687885618983,142,41
5000129575,Granville town,5.314009661835748,7.191335007964271,22,29.274562336608895,414,102
5000131525,Hancock town,13.145539906103288,8.011931080170138,56,30.854497241083024,426,111
5000139325,Leicester town,12.280701754385964,4.989305736309933,126,47.66550115125194,1026,152
5000140075,Lincoln town,12.365204888569375,4.147501877215628,172,54.415071441651165,1391,155
5000144350,Middlebury town,18.115218115218116,2.883177998606851,1632,259.6959760951255,9009,28
5000145550,Monkton town,10.893574297188755,5.247286307835303,217,99.77474630386187,1992,286
5000148700,New Haven town,14.899553571428573,4.234659075342097,267,69.97856814768362,1792,197
5000153725,Orwell town,12.208398133748057,4.660512007156462,157,55.51576352712804,1286,185
5000153950,Panton town,15.942028985507244,6.508708034409818,110,40.08740450565489,690,127
5000159650,Ripton town,20.078740157480315,11.735213427160618,102,54.258639865002145,508,123
5000162575,Salisbury town,11.082474226804123,4.179957431481317,129,41.09744517606904,1164,235
5000165050,Shoreham town,15.36643026004728,5.630791990552993,195,63.984373092185564,1269,207
5000170075,Starksboro town,15.110881897885509,4.7164244199868595,293,79.51100552753688,1939,299
5000174650,Vergennes city,16.79178190438562,4.184731749484315,425,105.81115253129039,2531,28
5000176075,Waltham town,13.716814159292035,6.753429634193828,62,27.60434748368452,452,95
5000183275,Weybridge town,9.73111395646607,4.339686668538451,76,31.160872901765767,781,137
5000183800,Whiting town,16.541353383458645,12.525959302219864,88,61.84658438426491,532,150
5000301450,Arlington town,10.931485758275597,3.646002121994739,284,85.18215775618742,2598,379
5000304825,Bennington town,22.49256555825899,3.3098461951253046,3328,488.79648116573014,14796,134
5000317725,Dorset town,9.27342256214149,4.262486796271075,194,84.50443775329198,2092,307
5000327962,Glastenbury town,,,0,34.64101615137755,0,10
5000339025,Landgrove town,1.3333333333333335,14.187273108112427,3,31.906112267087632,225,74
5000342850,Manchester town,14.877335133918523,4.016226561651645,661,178.42085079945113,4443,18
5000355000,Peru town,9.44700460829493,15.204998237393058,41,64.55230437405004,434,145
5000357025,Pownal town,11.393568147013783,4.1395562897224965,372,135.1332675546625,3265,22
5000358600,Readsboro town,15.737298636926889,6.447093632898221,127,46.67976006793523,807,146
5000361000,Rupert town,11.834319526627219,7.692334386119335,80,47.74934554525329,676,174
5000362875,Sandgate town,12.413793103448276,8.056592440049815,54,30.643106892089126,435,137
5000363175,Searsburg town,13.953488372093023,25.14317148385807,18,31.76476034853718,129,47
5000363550,Shaftsbury town,13.612420293873026,4.502065889422542,491,162.3730273167314,3607,17
5000369775,Stamford town,9.968847352024921,3.6416200067443047,96,32.66496594212215,963,128
5000371425,Sunderland town,9.771473601260835,4.851383416246932,124,57.97413216254298,1269,212
5000385075,Winhall town,12.5,7.676156494369963,94,54.286278192559855,752,157
5000385675,Woodford town,17.375886524822697,11.846618162411433,49,31.622776601683793,282,62
5000502875,Barnet town,12.776280323450134,3.6415660569900346,237,60.44832503882965,1855,236
5000510450,Burke town,13.439635535307518,4.038586485215281,177,46.130250378683186,1317,197
5000517125,Danville town,21.694915254237287,7.3601189336430926,512,163.90851106638726,2360,265
5000530550,Groton town,16.75284384694933,8.979833970137,162,79.16438593205912,967,213
5000531825,Hardwick town,20.20236087689713,5.63222713879864,599,166.92513291892266,2965,24
5000537900,Kirby town,5.026455026455026,4.06240946662671,38,28.91366458960192,756,206
5000541725,Lyndon town,25.685242330731526,4.918599758186856,1415,270.9169614475993,5509,20
5000547725,Newark town,16.368638239339752,8.294719834617974,119,52.88667128870941,727,177
5000554400,Peacham town,12.013729977116705,6.315443888930193,105,50.41825066382212,874,187
5000561525,Ryegate town,13.314447592067987,4.791734117988936,141,45.86937976471886,1059,163
5000562200,St. Johnsbury town,18.11473127262601,3.1256929885732276,1301,224.41702252725838,7182,31
5000564075,Sheffield town,10.12216404886562,6.270529248192306,58,34.161381705077446,573,110
5000569925,Stannard town,10.087719298245613,12.704123427165195,23,28.21347195933177,228,65
5000571575,Sutton town,15.796178343949045,6.106080733881258,124,41.84495190581536,785,148
5000575700,Walden town,10.318225650916105,4.28368790666397,107,40.01249804748511,1037,187
5000577125,Waterford town,9.169278996865204,4.085969314983992,117,48.228622207149975,1276,216
5000583500,Wheelock town,12.861271676300579,6.6847658774728185,89,42.555845661906424,692,141
5000706550,Bolton town,8.448275862068966,3.8724328702788386,98,42.23742416388575,1160,181
5000710300,Buels gore,15.789473684210526,167.91753900536318,3,31.827660925679098,19,14
5000710675,Burlington city,13.652046453940692,1.402474299402091,6054,621.8882536276111,44345,51
5000713300,Charlotte town,8.682328907048008,3.0591593197803126,340,119.76643937263894,3916,31
5000714875,Colchester town,12.147777082028805,2.0831806983928196,2134,365.92622207215487,17567,36
5000724175,Essex town,7.889684063536394,2.1086257951459473,904,241.5905627295901,11458,35
5000724400,Essex Junction city,12.678155565905916,2.8490406228695475,1361,305.7498977922969,10735,60
5000733475,Hinesburg town,9.283594743535396,3.4976808338566716,438,165.01212076693034,4718,18
5000734600,Huntington town,6.233062330623306,2.2996034467227338,115,40.8656334834051,1845,183
5000736700,Jericho town,5.338287055142745,2.0376149896073197,273,104.19213022104884,5114,29
5000745250,Milton town,13.603216155572175,3.3650751331538107,1455,359.7513029858266,10696,83
5000759275,Richmond town,13.633084876172157,6.463930920981207,567,268.81964213948356,4159,21
5000762050,St. George town,7.0197044334975365,5.1374040802958145,57,38.13135192987524,812,241
5000764300,Shelburne town,11.445397516323135,2.9613006214321986,894,231.28337596982624,7811,29
5000766175,South Burlington city,8.71882640586797,1.737635167468822,1783,355.2478008376688,20450,96
5000773975,Underhill town,10.569882203120025,5.506743061831107,332,172.9595328393321,3141,15
5000780350,Westford town,8.19964349376114,2.6299928480517045,184,55.5517776493246,2244,243
5000784475,Williston town,12.078205637157602,2.992709529087373,1217,301.44319531215166,10076,65
5000785150,Winooski city,12.687469762941461,2.9007312399298595,1049,239.7936613007108,8268,34
5000902125,Averill town,0.0,384.9001794597506,0,34.64101615137755,9,9
5000902162,Avery's gore,,,0,34.64101615137755,0,10
5000906325,Bloomfield town,25.64102564102564,19.792451431339543,60,42.80186911806539,234,69
5000908725,Brighton town,24.507283633247642,8.201389041930623,286,83.06623862918075,1167,194
5000910075,Brunswick town,26.605504587155966,31.165431469342153,29,30.528675044947494,109,56
5000911800,Canaan town,10.987654320987653,4.4411536899053745,89,33.88214869219483,810,110
5000915250,Concord town,20.297462817147856,5.917331581246697,232,59.65735495309862,1143,157
5000921250,East Haven town,34.66666666666667,22.110406291887045,78,40.58324777540605,225,83
5000925975,Ferdinand town,4.411764705882353,49.266324505339774,3,33.406586176980134,68,57
5000929125,Granby town,26.865671641791046,40.79599692369833,18,26.49528259898354,67,25
5000930775,Guildhall town,22.371967654986523,12.23680521741899,83,38.57460304397182,371,107
5000939700,Lemington town,22.22222222222222,33.8983573341157,24,35.62302626111375,108,38
5000939775,Lewis town,,,0,34.64101615137755,0,10
5000941425,Lunenburg town,26.91397000789266,7.048345135360694,341,76.20367445208925,1267,173
5000942475,Maidstone town,23.651452282157674,15.201173924619646,57,33.03028912982749,241,67
5000952750,Norton town,21.296296296296298,28.411863135373967,23,29.765752132274432,108,35
5000975175,Victory town,9.433962264150944,57.66235216197779,5,30.44667469527666,53,28
5000976337,Warner's grant,,,0,34.64101615137755,0,10
5000976562,Warren's gore,,,0,34.64101615137755,0,10
5001102500,Bakersfield town,13.706041478809738,5.244415809078865,152,52.66877632905477,1109,180
5001105425,Berkshire town,12.99826689774697,4.181709318857731,225,63.80438856379708,1731,263
5001124050,Enosburgh town,10.949963741841914,2.8791221420317226,302,79.36623967405788,2758,23
5001124925,Fairfax town,8.706467661691542,3.462712386990014,455,180.95026941123908,5226,23
5001125225,Fairfield town,13.312693498452013,3.878338673113648,258,67.97058187186572,1938,241
5001126500,Fletcher town,10.840336134453782,5.273707185573132,129,56.60388679233962,1190,250
5001127100,Franklin town,14.654088050314465,5.278669747689401,233,70.3846574190711,1590,312
5001127700,Georgia town,10.715754833401894,3.28254147462588,521,159.53369550035504,4862,42
5001133025,Highgate town,23.767455115417498,7.42478450856112,834,260.4246532108663,3509,32
5001145850,Montgomery town,11.843361986628462,6.2373323716531415,124,59.93329625508679,1047,219
5001159125,Richford town,16.008316008316008,4.903235549392075,385,106.29205050237765,2405,319
5001161675,St. Albans city,19.639744334689134,4.400702147118131,1352,302.6995209774868,6884,62
5001161750,St. Albans town,16.689118395449785,4.705178164108247,1115,313.8917010690152,6681,102
5001164600,Sheldon town,16.100573445081608,5.395510611942607,365,105.91506030777681,2267,380
5001171725,Swanton town,16.26124133864072,3.4825713912957905,1103,236.13767170868778,6783,39
5001300860,Alburgh town,23.580786026200872,6.76154661212723,432,111.25196627475849,1832,231
5001329275,Grand Isle town,10.297482837528605,3.669877934733646,225,76.04603868710059,2185,247
5001335875,Isle La Motte town,21.663778162911612,9.852799805935215,125,46.94677837722201,577,148
5001350650,North Hero town,6.01741884402217,2.7922353304434546,76,33.25657829663178,1263,195
5001367000,South Hero town,9.734513274336283,3.187014971919418,154,46.66904755831214,1582,196
5001504375,Belvidere town,10.42654028436019,7.451138133566522,44,29.664793948382652,422,100
5001511500,Cambridge town,7.82122905027933,2.323621198986986,294,87.32124598286491,3759,26
5001523500,Eden town,13.101406365655071,5.307609230003608,177,68.0294054067798,1351,173
5001523725,Elmore town,7.780082987551867,4.4655462631730956,75,40.13726448077895,964,200
5001535050,Hyde Park town,10.7,3.4392682483988426,321,103.16006979447037,3000,18
5001537075,Johnson town,18.896952104499274,4.890598835120465,651,168.44286865284622,3445,19
5001546675,Morristown town,15.498938428874734,4.351160286104772,876,245.84141229662671,5652,42
5001570525,Stowe town,10.974456007568591,4.105249988503039,580,216.95621678117453,5285,15
5001577425,Waterville town,17.5,8.88526883503033,119,55.90169943749474,680,131
5001585375,Wolcott town,13.914780292942744,4.640075421317357,209,64.19501538281614,1502,195
5001707375,Bradford town,25.912796880538817,8.406208088816038,731,237.05062750391528,2821,25
5001707600,Braintree town,20.56530214424951,6.440712873690527,211,59.9666574022598,1026,135
5001709325,Brookfield town,12.584118438761777,4.279554025075207,187,56.753854494650845,1486,228
5001713525,Chelsea town,21.166666666666668,6.738422375535026,254,68.36665854054884,1200,204
5001715700,Corinth town,19.03833658219623,6.359290645382131,293,85.0881895447306,1539,254
5001725675,Fairlee town,11.553030303030303,4.966623814203101,122,47.738873049120045,1056,188
5001748175,Newbury town,15.952051636698938,4.522279759199973,346,87.24677644474895,2169,281
5001753425,Orange town,16.38477801268499,6.010521619077546,155,49.47726750741192,946,171
5001758075,Randolph town,16.313383208645053,4.297963722750872,785,206.79941972839285,4812,17
5001770675,Strafford town,9.183673469387756,3.9643805777684853,126,50.38849074937649,1372,223
5001772400,Thetford town,13.366512619978671,4.94211409402141,376,138.97481786280562,2813,27
5001773075,Topsham town,20.82082082082082,6.575116508346918,208,57.55866572463264,999,152
5001773675,Tunbridge town,13.72705506783719,5.425415636920574,172,59.53990258641679,1253,239
5001774950,Vershire town,15.274463007159905,5.823677665212555,128,41.60528812542944,838,167
5001776750,Washington town,16.950757575757574,7.925196000760444,179,78.19207120929845,1056,176
5001779975,West Fairlee town,18.424753867791843,7.681121570934988,131,48.7134478352744,711,134
5001784175,Williamstown town,18.99972059234423,5.011941080816669,680,179.35160997325895,3579,16
5001900475,Albany town,27.62312633832976,18.233381862334767,258,151.58166115991736,934,281
5001903550,Barton town,20.722364100693177,3.492534612392658,568,95.56673061269805,2741,27
5001909850,Brownington town,14.772727272727273,4.8777655806629205,169,48.228622207149975,1144,190
5001913150,Charleston town,19.444444444444446,9.0837100594017,182,80.2807573457052,936,144
5001916150,Coventry town,18.21155943293348,6.669257521366875,167,53.4696175411794,917,163
5001916300,Craftsbury town,13.609467455621301,5.040613801436441,184,60.60528029800704,1352,229
5001917350,Derby town,16.334661354581673,3.42254922924001,738,154.57684173251826,4518,25
5001928075,Glover town,14.568880079286423,4.869863255880868,147,44.294469180700204,1009,146
5001930175,Greensboro town,10.214168039538714,5.613306186171233,62,32.202484376209235,607,109
5001933775,Holland town,11.012658227848101,6.078843487695465,87,44.40720662234904,790,166
5001935575,Irasburg town,12.835387962291517,4.418551396233923,177,51.31276644267,1379,256
5001936325,Jay town,15.498938428874734,10.744372939240215,73,46.42197755374064,471,130
5001940525,Lowell town,13.825757575757574,5.575675329279017,146,43.87482193696061,1056,284
5001946450,Morgan town,15.384615384615385,5.629070373783967,126,41.38840417314975,819,132
5001948850,Newport city,22.82064128256513,5.427007450127847,911,216.57100452276615,3992,25
5001948925,Newport town,14.928169893816365,4.4442344156218185,239,58.532042506647585,1601,271
5001973525,Troy town,16.580903373356204,6.067274898465492,290,95.58242516278817,1749,278
5001980200,Westfield town,16.448598130841123,7.465752432128496,88,31.016124838541646,535,153
5001981700,Westmore town,12.043010752688172,7.531461803651111,56,32.41913015489465,465,110
5002105200,Benson town,10.81081081081081,4.639200440056216,84,32.66496594212215,777,141
5002107750,Brandon town,21.94288503783256,5.47031974551409,899,224.09149916942408,4097,16
5002111950,Castleton town,15.629912418594206,4.419881579392921,696,196.79939024295783,4453,17
5002114350,Chittenden town,11.684370257966616,3.970952659219916,154,44.69899327725402,1318,233
5002114500,Clarendon town,21.056910569105693,5.119558338668084,518,107.44766167767449,2460,312
5002116825,Danby town,11.915269196822594,3.9363033470964224,135,40.26164427839479,1133,161
5002125375,Fair Haven town,14.280469897209985,4.3539915298425935,389,118.5748708622531,2724,18
5002134450,Hubbardton town,14.801444043321299,8.656661563797325,123,63.608175575157006,831,227
5002135425,Ira town,14.435695538057743,8.098501856757306,55,29.103264421710495,381,71
5002137685,Killington town,9.961685823754788,7.343657241096375,78,55.41660400998964,783,154
5002144125,Mendon town,6.379155435759209,3.6723498767815896,71,38.54867053479276,1113,213
5002144800,Middletown Springs town,10.040160642570282,4.186047483069164,75,29.647934160747187,747,99
5002147200,Mount Holly town,16.25441696113074,6.827875004284116,230,88.88194417315589,1415,233
5002147425,Mount Tabor town,8.223684210526317,10.448325621286322,25,30.495901363953813,304,108
5002154250,Pawlet town,9.662162162162161,3.6156990945617835,143,47.60252094164762,1480,253
5002155450,Pittsfield town,7.928388746803069,8.743224733946859,31,33.075670817082454,391,109
5002155600,Pittsford town,14.107883817427386,5.54741518574995,408,160.4088526235382,2892,19
5002156875,Poultney town,13.2890365448505,3.246400957772453,400,97.67292357659824,3010,22
5002157250,Proctor town,18.84057971014493,6.846858640153948,338,110.83771921146699,1794,281
5002161225,Rutland city,15.518945634266887,2.5086091994416075,2355,380.5351494934469,15175,68
5002161300,Rutland town,13.949321730227796,4.030417810184612,545,157.44840424723267,3907,18
5002165275,Shrewsbury town,12.69199676637025,7.857189517419565,157,90.80748867797193,1237,273
5002171050,Sudbury town,9.131075110456553,5.348561630301234,62,33.406586176980134,679,156
5002172925,Tinmouth town,7.617896009673519,4.011358562767983,63,29.546573405388315,827,198
5002175925,Wallingford town,23.27209098862642,8.08663407647249,532,158.75137794677562,2286,407
5002177950,Wells town,15.59233449477352,6.52977290847131,179,64.40496875241847,1148,246
5002180875,West Haven town,14.529914529914532,13.153959958174397,34,29.0,234,71
5002182300,West Rutland town,15.312500000000002,4.969054829566151,343,97.38583059151881,2240,352
5002303175,Barre city,21.925782197429054,4.540600943885162,1808,374.1296566699839,8246,67
5002303250,Barre town,12.59212991880075,2.934194333979297,1008,234.8659191964641,8005,22
5002305650,Berlin town,16.76737160120846,4.0065854440601845,444,105.9669759878048,2648,31
5002311125,Cabot town,12.412919569347688,4.936539479643472,196,63.86704940734306,1579,360
5002311350,Calais town,8.114419147694104,2.9647658701039776,139,44.87761134463375,1713,293
5002318550,Duxbury town,7.622739018087856,2.8730267352675627,118,42.02380277890139,1548,191
5002321925,East Montpelier town,8.652373660030628,2.5578564145565434,226,66.76076692189807,2612,30
5002325825,Fayston town,7.377049180327869,2.7962204611852317,99,36.09709129556009,1342,139
5002343600,Marshfield town,15.029522275899087,6.0383198426323705,280,99.67447015158896,1863,347
5002344500,Middlesex town,9.93309315491508,3.0548593799157926,193,53.39475629684998,1943,261
5002346000,Montpelier city,13.723765238155083,2.4717375416925975,1092,196.62400667263395,7957,33
5002346225,Moretown town,9.7911227154047,3.428649657494235,150,49.122296363260546,1532,190
5002350275,Northfield town,15.45827633378933,3.3871960441875295,904,198.0252509151295,5848,31
5002355825,Plainfield town,13.39421613394216,4.755947402468939,176,57.42821606144492,1314,184
5002360625,Roxbury town,16.24203821656051,10.867654687450742,153,86.91950298983537,942,333
5002375325,Waitsfield town,14.65067778936392,6.464098747939877,281,117.88977903109328,1918,262
5002376525,Warren town,6.561514195583597,5.180677048423423,104,79.68688725254614,1585,302
5002376975,Waterbury town,9.89485542621104,3.4212547456893443,527,181.98351573700296,5326,93
5002385525,Woodbury town,9.104704097116842,6.930762616563971,60,41.352146256270665,659,213
5002386125,Worcester town,17.56919374247894,7.3304065312352895,146,56.4003546088143,831,131
5002501900,Athens town,20.185614849187935,8.978100902829386,87,33.13608305156178,431,99
5002507900,Brattleboro town,18.16057419462527,3.098622958841003,2176,371.24924242346947,11982,25
5002509475,Brookline town,9.227871939736348,5.256141892123764,49,26.645825188948457,531,90
5002517875,Dover town,13.369713506139155,6.138218525661804,196,83.70782520170978,1466,247
5002518325,Dummerston town,15.35885167464115,5.492469230368996,321,104.52272480183436,2090,309
5002528900,Grafton town,12.462462462462462,5.849127794594183,83,35.014282800023196,666,137
5002530925,Guilford town,11.986997155627794,4.341866194759624,295,98.67623827447011,2461,342
5002531150,Halifax town,13.81345926800472,5.757516411851703,117,40.74309757492672,847,194
5002536175,Jamaica town,14.625850340136054,8.324312537104786,129,70.15696686716153,882,148
5002540225,Londonderry town,14.255205552589429,7.664325931135926,267,134.28328265275616,1873,356
5002543375,Marlboro town,26.87224669603524,9.525662953193322,366,122.78029157808675,1362,156
5002548400,Newfane town,11.538461538461538,4.905573355651439,168,67.23094525588644,1456,209
5002557700,Putney town,20.175438596491226,5.043653716751145,529,132.1060180309739,2622,30
5002560250,Rockingham town,13.173277661795407,3.348010557147717,631,160.3558542741736,4790,16
5002565762,Somerset town,,,0,34.64101615137755,0,10
5002570750,Stratton town,6.015037593984962,7.866133731567531,32,40.27406113120453,532,189
5002573300,Townshend town,11.377245508982035,4.911267319255462,171,58.47221562417487,1503,396
5002574800,Vernon town,19.263987983477282,5.601391508114675,513,122.60913505934214,2663,441
5002576225,Wardsboro town,10.731707317073171,5.336247069400127,88,40.47221268969612,820,155
5002581400,Westminster town,16.408355795148246,5.230932373351794,487,155.19987113396712,2968,25
5002583950,Whitingham town,12.280701754385964,4.722290164686691,168,57.61076288333631,1368,238
5002584700,Wilmington town,13.680595306239269,5.499944176611483,239,92.06519429187124,1747,201
5002584850,Windham town,12.289562289562289,6.818433551963256,73,36.0,594,151
5002701300,Andover town,6.493506493506493,5.186474911460973,40,30.983866769659336,616,120
5002702575,Baltimore town,12.18836565096953,7.890515598426435,44,26.851443164195103,361,78
5002702725,Barnard town,8.835672997522709,5.916150215464368,107,66.59579566308972,1211,299
5002705800,Bethel town,14.631336405529954,4.9131766751153485,254,78.49840762716146,1736,228
5002708275,Bridgewater town,19.081632653061227,6.981702604991241,187,54.323107422164284,980,218
5002712250,Cavendish town,17.18241042345277,5.570329754942821,211,57.68015256567895,1228,214
5002713675,Chester town,17.914438502673796,6.13553743429658,536,183.4965939738392,2992,30
5002732275,Hartford town,15.414276309602181,3.005667971216782,1639,319.57628197349067,10633,21
5002732425,Hartland town,14.826589595375722,5.12680862848266,513,177.36967046256808,3460,17
5002741275,Ludlow town,12.621857362750127,3.60468471441256,246,59.9666574022598,1949,290
5002752900,Norwich town,10.412087912087912,3.570080802350976,379,129.93075078671714,3640,22
5002756050,Plymouth town,13.50844277673546,7.7733349607921,72,38.01315561749642,533,122
5002756350,Pomfret town,9.47136563876652,5.586764138739662,86,48.07286136688766,908,171
5002758375,Reading town,17.59656652360515,6.358201367891993,123,37.107950630558946,699,139
5002760100,Rochester town,13.03095752339813,5.645721448971263,181,70.90839160494335,1389,257
5002760850,Royalton town,7.8851744186046515,3.3376983798929114,217,91.80958555619343,2752,36
5002763775,Sharon town,8.497146480659481,3.5440940950033224,134,52.20153254455275,1577,235
5002769550,Springfield town,23.16580011554015,4.661364800982412,2005,403.35964101531033,8655,35
5002770375,Stockbridge town,11.883691529709228,5.665210000431107,94,40.74309757492672,791,157
5002777500,Weathersfield town,15.278757939308399,4.8834024322169745,433,138.351002887583,2834,23
5002782000,Weston town,7.623318385650224,5.144857409017835,51,32.77193921634788,669,138
5002783050,West Windsor town,7.600341588385994,4.013415973812681,89,43.31281565541543,1171,240
5002784925,Windsor town,22.3546511627907,6.507567398935314,769,223.82805900958888,3440,17
5002785975,Woodstock town,14.434373950990265,4.864973872330829,430,144.88616221019868,2979,24
