GEOID,town_name,median_year_house_built,median_year_house_built_moe
5000100325,Addison town,1980,6
5000108575,Bridport town,1978,6
5000109025,Bristol town,1976,5
5000116000,Cornwall town,1976,7
5000126300,Ferrisburgh town,1968,6
5000128600,Goshen town,1978,7
5000129575,Granville town,1974,4
5000131525,Hancock town,1972,34
5000139325,Leicester town,1981,3
5000140075,Lincoln town,1977,5
5000144350,Middlebury town,1976,4
5000145550,Monkton town,1988,6
5000148700,New Haven town,1981,5
5000153725,Orwell town,1982,4
5000153950,Panton town,1974,10
5000159650,Ripton town,1973,5
5000162575,Salisbury town,1967,10
5000165050,Shoreham town,1979,7
5000170075,Starksboro town,1986,4
5000174650,Vergennes city,1967,7
5000176075,Waltham town,1986,3
5000183275,Weybridge town,1976,4
5000183800,Whiting town,1975,14
5000301450,Arlington town,1966,6
5000304825,Bennington town,1961,4
5000317725,Dorset town,1972,7
5000327962,Glastenbury town,-,**
5000339025,Landgrove town,1979,5
5000342850,Manchester town,1981,3
5000355000,Peru town,1981,3
5000357025,Pownal town,1969,5
5000358600,Readsboro town,1972,4
5000361000,Rupert town,1955,45
5000362875,Sandgate town,1959,10
5000363175,Searsburg town,1983,6
5000363550,Shaftsbury town,1977,3
5000369775,Stamford town,1980,6
5000371425,Sunderland town,1973,6
5000385075,Winhall town,1982,2
5000385675,Woodford town,1974,6
5000502875,Barnet town,1974,6
5000510450,Burke town,1981,5
5000517125,Danville town,1976,10
5000530550,Groton town,1981,15
5000531825,Hardwick town,1962,21
5000537900,Kirby town,1985,9
5000541725,Lyndon town,1981,4
5000547725,Newark town,1980,5
5000554400,Peacham town,1976,5
5000561525,Ryegate town,1949,14
5000562200,St. Johnsbury town,1944,6
5000564075,Sheffield town,1987,7
5000569925,Stannard town,1977,4
5000571575,Sutton town,1979,5
5000575700,Walden town,1983,4
5000577125,Waterford town,1980,3
5000583500,Wheelock town,1989,7
5000706550,Bolton town,1986,2
5000710300,Buels gore,1995,2
5000710675,Burlington city,1957,3
5000713300,Charlotte town,1982,5
5000714875,Colchester town,1981,3
5000724175,Essex town,1990,4
5000724400,Essex Junction city,1983,3
5000733475,Hinesburg town,1983,2
5000734600,Huntington town,1977,5
5000736700,Jericho town,1983,3
5000745250,Milton town,1985,3
5000759275,Richmond town,1983,4
5000762050,St. George town,1977,4
5000764300,Shelburne town,1986,3
5000766175,South Burlington city,1989,2
5000773975,Underhill town,1979,3
5000780350,Westford town,1982,4
5000784475,Williston town,1993,2
5000785150,Winooski city,1974,5
5000902125,Averill town,1973,14
5000902162,Avery's gore,-,**
5000906325,Bloomfield town,1981,9
5000908725,Brighton town,1967,10
5000910075,Brunswick town,1976,8
5000911800,Canaan town,1972,8
5000915250,Concord town,1977,4
5000921250,East Haven town,1973,8
5000925975,Ferdinand town,1992,13
5000929125,Granby town,1978,9
5000930775,Guildhall town,1958,8
5000939700,Lemington town,1967,16
5000939775,Lewis town,-,**
5000941425,Lunenburg town,1972,6
5000942475,Maidstone town,1971,10
5000952750,Norton town,1974,9
5000975175,Victory town,1986,12
5000976337,Warner's grant,-,**
5000976562,Warren's gore,1968,26
5001102500,Bakersfield town,1982,3
5001105425,Berkshire town,1979,4
5001124050,Enosburgh town,1972,15
5001124925,Fairfax town,1994,7
5001125225,Fairfield town,1984,3
5001126500,Fletcher town,1987,5
5001127100,Franklin town,1983,6
5001127700,Georgia town,1985,3
5001133025,Highgate town,1980,15
5001145850,Montgomery town,1980,8
5001159125,Richford town,1939-,***
5001161675,St. Albans city,1945,9
5001161750,St. Albans town,1987,6
5001164600,Sheldon town,1984,19
5001171725,Swanton town,1976,4
5001300860,Alburgh town,1984,4
5001329275,Grand Isle town,1983,7
5001335875,Isle La Motte town,1989,10
5001350650,North Hero town,1980,4
5001367000,South Hero town,1985,3
5001504375,Belvidere town,1989,8
5001511500,Cambridge town,1985,4
5001523500,Eden town,1991,4
5001523725,Elmore town,1978,10
5001535050,Hyde Park town,1979,6
5001537075,Johnson town,1980,4
5001546675,Morristown town,1979,5
5001570525,Stowe town,1982,7
5001577425,Waterville town,1972,9
5001585375,Wolcott town,1983,6
5001707375,Bradford town,1976,23
5001707600,Braintree town,1979,5
5001709325,Brookfield town,1975,10
5001713525,Chelsea town,1967,10
5001715700,Corinth town,1976,6
5001725675,Fairlee town,1972,8
5001748175,Newbury town,1977,4
5001753425,Orange town,1981,7
5001758075,Randolph town,1971,7
5001770675,Strafford town,1980,7
5001772400,Thetford town,1978,6
5001773075,Topsham town,1981,6
5001773675,Tunbridge town,1981,10
5001774950,Vershire town,1985,9
5001776750,Washington town,1980,4
5001779975,West Fairlee town,1978,5
5001784175,Williamstown town,1986,5
5001900475,Albany town,1983,10
5001903550,Barton town,1966,11
5001909850,Brownington town,1985,4
5001913150,Charleston town,1980,7
5001916150,Coventry town,1993,6
5001916300,Craftsbury town,1983,7
5001917350,Derby town,1978,4
5001928075,Glover town,1968,12
5001930175,Greensboro town,1973,5
5001933775,Holland town,1981,4
5001935575,Irasburg town,1988,5
5001936325,Jay town,2001,2
5001940525,Lowell town,1984,8
5001946450,Morgan town,1973,8
5001948850,Newport city,1966,7
5001948925,Newport town,1983,4
5001973525,Troy town,1980,5
5001980200,Westfield town,1973,5
5001981700,Westmore town,1977,5
5002105200,Benson town,1975,6
5002107750,Brandon town,1951,22
5002111950,Castleton town,1974,3
5002114350,Chittenden town,1980,4
5002114500,Clarendon town,1971,7
5002116825,Danby town,1981,4
5002125375,Fair Haven town,1939-,***
5002134450,Hubbardton town,1973,2
5002135425,Ira town,1975,5
5002137685,Killington town,1983,1
5002144125,Mendon town,1977,2
5002144800,Middletown Springs town,1981,4
5002147200,Mount Holly town,1984,3
5002147425,Mount Tabor town,1946,4
5002154250,Pawlet town,1964,8
5002155450,Pittsfield town,1977,5
5002155600,Pittsford town,1972,6
5002156875,Poultney town,1968,7
5002157250,Proctor town,1939-,***
5002161225,Rutland city,1939-,***
5002161300,Rutland town,1976,3
5002165275,Shrewsbury town,1975,4
5002171050,Sudbury town,1977,6
5002172925,Tinmouth town,1973,5
5002175925,Wallingford town,1971,9
5002177950,Wells town,1977,3
5002180875,West Haven town,1978,5
5002182300,West Rutland town,1939-,***
5002303175,Barre city,1947,13
5002303250,Barre town,1974,4
5002305650,Berlin town,1979,5
5002311125,Cabot town,1977,8
5002311350,Calais town,1976,6
5002318550,Duxbury town,1988,7
5002321925,East Montpelier town,1978,5
5002325825,Fayston town,1977,2
5002343600,Marshfield town,1972,9
5002344500,Middlesex town,1986,4
5002346000,Montpelier city,1955,3
5002346225,Moretown town,1982,4
5002350275,Northfield town,1956,7
5002355825,Plainfield town,1955,21
5002360625,Roxbury town,1974,13
5002375325,Waitsfield town,1980,4
5002376525,Warren town,1977,1
5002376975,Waterbury town,1983,7
5002385525,Woodbury town,1970,7
5002386125,Worcester town,1976,4
5002501900,Athens town,1973,8
5002507900,Brattleboro town,1955,5
5002509475,Brookline town,1975,3
5002517875,Dover town,1984,2
5002518325,Dummerston town,1971,5
5002528900,Grafton town,1978,6
5002530925,Guilford town,1980,4
5002531150,Halifax town,1968,6
5002536175,Jamaica town,1976,4
5002540225,Londonderry town,1978,6
5002543375,Marlboro town,1976,7
5002548400,Newfane town,1971,7
5002557700,Putney town,1977,5
5002560250,Rockingham town,1939-,***
5002565762,Somerset town,1952,24
5002570750,Stratton town,1988,3
5002573300,Townshend town,1982,5
5002574800,Vernon town,1979,3
5002576225,Wardsboro town,1978,3
5002581400,Westminster town,1980,7
5002583950,Whitingham town,1974,4
5002584700,Wilmington town,1975,3
5002584850,Windham town,1982,4
5002701300,Andover town,1980,5
5002702575,Baltimore town,1977,10
5002702725,Barnard town,1971,8
5002705800,Bethel town,1966,8
5002708275,Bridgewater town,1976,4
5002712250,Cavendish town,1968,10
5002713675,Chester town,1972,8
5002732275,Hartford town,1979,2
5002732425,Hartland town,1971,6
5002741275,Ludlow town,1982,2
5002752900,Norwich town,1982,3
5002756050,Plymouth town,1980,3
5002756350,Pomfret town,1970,6
5002758375,Reading town,1969,9
5002760100,Rochester town,1967,5
5002760850,Royalton town,1965,7
5002763775,Sharon town,1981,4
5002769550,Springfield town,1958,5
5002770375,Stockbridge town,1977,4
5002777500,Weathersfield town,1978,4
5002782000,Weston town,1969,7
5002783050,West Windsor town,1980,3
5002784925,Windsor town,1945,7
5002785975,Woodstock town,1958,17
